A,B,C,D,E
0.17212,0.14416,0.29916,0.34847,0.18348
0.26364,0.39364,0.27678,0.27493,0.3325
0.29397,0.26858,0.44035,0.36149,0.36684
0.30251,0.35624,0.33258,0.35082,0.3629
0.37195,0.26561,0.35754,0.32702,0.29761
0.27685,0.2417,0.28886,0.20822,0.26927
0.26291,0.46328,0.32826,0.24393,0.22694
0.2085,0.30628,0.15418,0.39242,0.24207
0.34741,0.32857,0.21604,0.17625,0.28418
0.24125,0.24242,0.30559,0.21767,0.30509
0.38467,0.14368,0.29242,0.41203,0.23656
0.23,0.32311,0.37345,0.32668,0.28145
0.37932,0.27072,0.47722,0.34579,0.29482
0.28638,0.43608,0.41758,0.24626,0.31906
0.1378,0.28991,0.3961,0.50563,0.34081
0.40523,0.12469,0.27244,0.38024,0.34682
0.24549,0.31992,0.43807,0.27989,0.24292
0.24248,0.35422,0.52107,0.41833,0.14118
0.36173,0.25672,0.30562,0.24199,0.42095
0.38459,0.18545,0.34446,0.30798,0.21327
0.4038,0.23024,0.28745,0.36314,0.32063
0.34569,0.34772,0.33248,0.38707,0.26734
0.2165,0.24115,0.41278,0.32696,0.24531
0.19067,0.28453,0.22778,0.23847,0.24871
0.35531,0.31842,0.41702,0.25825,0.22406
0.22984,0.42022,0.19182,0.30568,0.23059
0.09368,0.2085,0.27806,0.3086,0.31342
0.30993,0.27403,0.33664,0.24621,0.34946
0.37766,0.31284,0.32259,0.35149,0.1906
0.2825,0.26079,0.36008,0.33339,0.33918
0.26205,0.31475,0.35643,0.33878,0.30142
0.37757,0.46475,0.27174,0.33437,0.41003
0.40694,0.30583,0.22203,0.29134,0.21756
0.26345,0.21739,0.30933,0.42428,0.25998
0.40657,0.3359,0.25312,0.27521,0.32503
0.39727,0.37712,0.39194,0.40682,0.41245
0.42953,0.21431,0.42262,0.19011,0.39145
0.29543,0.27135,0.35439,0.35402,0.24484
0.33974,0.42269,0.16403,0.27635,0.24159
0.35496,0.38161,0.20804,0.43531,0.19283
0.37662,0.16786,0.26529,0.24975,0.28439
0.34513,0.16162,0.26547,0.38197,0.28957
0.31127,0.10191,0.28045,0.37055,0.30561
0.10554,0.13456,0.33735,0.50534,0.40715
0.18248,0.5101,0.32262,0.30398,0.22855
0.2407,0.37288,0.22304,0.25275,0.32179
0.29003,0.30231,0.271,0.34715,0.27492
0.28575,0.30603,0.34651,0.36501,0.39768
0.49218,0.24855,0.19696,0.3363,0.22747
0.23899,0.22928,0.33947,0.38714,0.22499
0.3027,0.35256,0.43121,0.28384,0.38212
0.37619,0.39753,0.26151,0.26125,0.21123
0.32647,0.30427,0.27964,0.31641,0.16917
0.39881,0.20627,0.30548,0.32427,0.29055
0.42473,0.22076,0.39343,0.31904,0.13938
0.25418,0.35251,0.29048,0.35997,0.44328
0.22314,0.093349,0.40505,0.22594,0.31374
0.25582,0.2198,0.45886,0.40606,0.50443
0.29008,0.24014,0.21488,0.25039,0.39428
0.33924,0.23347,0.34422,0.33264,0.23794
0.35708,0.36454,0.32522,0.42995,0.37887
0.37801,0.086629,0.23268,0.39897,0.13505
0.21828,0.31636,0.32675,0.2168,0.26734
0.2387,0.29738,0.16829,0.27266,0.36284
0.29577,0.29431,0.38789,0.42492,0.3102
0.23179,0.27158,0.35846,0.32091,0.44861
0.42548,0.28625,0.44763,0.20435,0.41532
0.24752,0.16989,0.39388,0.43681,0.42191
0.13381,0.30631,0.16834,0.23577,0.39095
0.41388,0.34284,0.28891,0.31685,0.33441
0.31828,0.28462,0.35956,0.41701,0.26729
0.37462,0.35087,0.15797,0.22175,0.36242
0.37411,0.2492,0.27268,0.30531,0.2602
0.091825,0.063493,0.17313,0.36291,0.22907
0.23781,0.16881,0.25612,0.24386,0.16853
0.32096,0.26126,0.12376,0.30724,0.26985
0.27105,0.26071,0.1901,0.30747,0.34174
0.21853,0.29679,0.40107,0.35854,0.34729
0.2535,0.31202,0.40918,0.23535,0.30613
0.38254,0.39452,0.40083,0.42762,0.20976
0.26714,0.35274,0.34905,0.31914,0.24311
0.16222,0.25984,0.2098,0.31011,0.25577
0.25135,0.26147,0.32833,0.43305,0.21029
0.29825,0.37022,0.40198,0.49255,0.36244
0.3191,0.30301,0.45671,0.2588,0.25567
0.27403,0.32489,0.24743,0.31374,0.47754
0.36509,0.10056,0.24084,0.20337,0.2409
0.36949,0.45347,0.36219,0.26232,0.22694
0.43248,0.38085,0.23314,0.24215,0.39504
0.35186,0.38249,0.4284,0.18615,0.35457
0.29276,0.48068,0.41051,0.31505,0.33769
0.31935,0.25771,0.32029,0.34357,0.21367
0.33729,0.31294,0.22399,0.24304,0.39645
0.35918,0.22852,0.36458,0.22838,0.40875
0.28955,0.29593,0.38309,0.15482,0.39404
0.24266,0.34243,0.33287,0.2425,0.24286
0.043685,0.2955,0.40325,0.34033,0.26459
0.28027,0.35014,0.34884,0.32767,0.21377
0.39291,0.37837,0.37163,0.37675,0.33138
0.44074,0.36398,0.21312,0.2723,0.29893
0.31964,0.16271,0.50117,0.4219,0.10273
0.28728,0.34505,0.33881,0.093613,0.14293
0.36384,0.23509,0.19639,0.37661,0.17569
0.30017,0.32566,0.1704,0.43197,0.35679
0.26304,0.2426,0.34611,0.18856,0.54813
0.28254,0.15001,0.4047,0.18821,0.34881
0.17655,0.080003,0.2529,0.20557,0.42059
0.40179,0.13262,0.34298,0.34451,0.066416
0.32935,0.45323,0.12901,0.46929,0.3999
0.2061,0.25868,0.3884,0.33705,0.3565
0.32285,0.19111,0.32544,0.389,0.25466
0.26672,0.4359,0.39136,0.37072,0.21111
0.22375,0.2996,0.44355,0.36514,0.23285
0.097031,0.12294,0.14115,0.2221,0.18829
0.27982,0.28058,0.27486,0.38792,0.19336
0.24198,0.30426,0.2891,0.25418,0.15489
0.34863,0.25563,0.2846,0.47168,0.34739
0.23158,0.34019,0.2922,0.22924,0.43361
0.30943,0.30731,0.33436,0.23228,0.39441
0.32474,0.26664,0.2699,0.10611,0.2501
0.24008,0.47186,0.3639,0.38274,0.33187
0.33292,0.31785,0.48219,0.14093,0.39623
0.20062,0.25718,0.16184,0.31317,0.46474
0.41663,0.33623,0.19319,0.1255,0.24805
0.18985,0.29558,0.21514,0.29566,0.36354
0.41757,0.23122,0.3497,0.16343,0.18198
0.17977,0.19849,0.25244,0.22624,0.09041
0.34562,0.14206,0.40823,0.18997,0.27772
0.4703,0.3379,0.40031,0.24537,0.26359
0.30924,0.19327,0.23185,0.29352,0.44963
0.3848,0.2951,0.33043,0.30571,0.17737
0.32731,0.3571,0.38137,0.14507,0.21392
0.23076,0.26021,0.31072,0.21095,0.38492
0.37312,0.19269,0.14771,0.25299,0.30729
0.32132,0.2037,0.19829,0.21803,0.28466
0.37972,0.41368,0.37288,0.32521,0.32945
0.3069,0.2742,0.31441,0.28505,0.2143
0.095394,0.39029,0.15716,0.31226,0.23505
0.24172,0.35352,0.20829,0.35759,0.26639
0.22321,0.4616,0.35636,0.19534,0.36223
0.38633,0.34734,0.43506,0.23696,0.20539
0.28946,0.19072,0.4553,0.31452,0.31454
0.29949,0.21283,0.22953,0.23225,0.44743
0.31677,0.3691,0.33284,0.14076,0.18375
0.32894,0.25727,0.352,0.26504,0.31237
0.35308,0.31299,0.39012,0.3438,0.31028
0.28871,0.33002,0.29934,0.36034,0.31071
0.49894,0.26899,0.27356,0.45693,0.086085
0.3519,0.32693,0.31835,0.35991,0.057338
0.27004,0.22872,0.34308,0.25736,0.30898
0.36441,0.26194,0.3113,0.32591,0.38296
0.28881,0.31413,0.32323,0.30359,0.29102
0.16496,0.361,0.22944,0.33123,0.3703
0.33198,0.3673,0.28822,0.12728,0.33085
0.35289,0.33181,0.39047,0.3698,0.29398
0.21044,0.36716,0.24564,0.27773,0.30593
0.26716,0.38624,0.46464,0.31514,0.39914
0.32584,0.23527,0.29478,0.38029,0.27164
0.1615,0.23691,0.35163,0.16588,0.21578
0.29882,0.22836,0.27696,0.29121,0.23489
0.49449,0.32385,0.42426,0.32927,0.26607
0.24938,0.25067,0.15172,0.25309,0.20998
0.35846,0.27325,0.25361,0.31314,0.34254
0.2136,0.11737,0.27011,0.31002,0.4329
0.40331,0.27386,0.36813,0.45622,0.28935
0.29883,0.40756,0.14394,0.23565,0.34844
0.36014,0.25072,0.22104,0.28296,0.28052
0.37495,0.28597,0.26202,0.18746,0.38343
0.36276,0.23045,0.30856,0.27216,0.39212
0.39996,0.29781,0.18303,0.36399,0.36816
0.34769,0.27614,0.34843,0.175,0.25173
0.1646,0.32144,0.34955,0.26785,0.39822
0.35971,0.31583,0.30954,0.23962,0.40821
0.33155,0.23906,0.38584,0.34257,0.39331
0.23288,0.33243,0.36246,0.26841,0.42382
0.2841,0.32406,0.44011,0.35242,0.25188
0.29687,0.31479,0.25404,0.3051,0.38798
0.32154,0.27693,0.53392,0.35085,0.32207
0.28479,0.3031,0.37872,0.38728,0.30376
0.30739,0.28582,0.35145,0.42582,0.25519
0.30241,0.42081,0.25226,0.25367,0.20053
0.30418,0.25989,0.20785,0.3673,0.30876
0.28857,0.35563,0.2927,0.20091,0.2877
0.29005,0.43692,0.30679,0.45256,0.28056
0.22221,0.31133,0.4078,0.24494,0.20067
0.33754,0.33537,0.24246,0.40119,0.31913
0.17209,0.3827,0.17662,0.25703,0.369
0.40674,0.20786,0.26581,0.25192,0.31838
0.27333,0.39573,0.22921,0.41296,0.20482
0.27287,0.38068,0.14796,0.29297,0.37047
0.21905,0.25876,0.16137,0.41141,0.44
0.32937,0.46789,0.2569,0.2417,0.14393
0.21694,0.33141,0.40806,0.29387,0.29715
0.38827,0.39143,0.43846,0.30284,0.25521
0.34659,0.28077,0.2707,0.38055,0.39934
0.36471,0.28683,0.46352,0.39566,0.27332
0.23005,0.3701,0.22079,0.28076,0.20795
0.11439,0.31095,0.46303,0.27162,0.38346
0.15052,0.26958,0.3548,0.35251,0.34062
0.40194,0.4012,0.28372,0.42435,0.27935
0.34245,0.27832,0.26086,0.35468,0.28627
0.32132,0.22137,0.26491,0.34939,0.33782
0.28034,0.38985,0.37921,0.24969,0.46705
0.33671,0.30356,0.22577,0.37088,0.35816
0.26268,0.43951,0.29415,0.44458,0.27728
0.29133,0.26489,0.27178,0.37219,0.34093
0.24665,0.50216,0.37506,0.24925,0.43204
0.32767,0.31833,0.254,0.16987,0.39859
0.22646,0.42101,0.48813,0.39568,0.18433
0.23705,0.35098,0.19926,0.24374,0.1173
0.25581,0.19232,0.15386,0.1342,0.39112
0.35026,0.33412,0.31327,0.25395,0.29071
0.41434,0.18055,0.42722,0.2978,0.16619
0.16504,0.36024,0.44371,0.15107,0.15143
0.3192,0.052162,0.29709,0.37048,0.31411
0.26787,0.2946,0.27496,0.15621,0.22738
0.32601,0.20315,0.37135,0.17791,0.25273
0.33606,0.38566,0.39565,0.26421,0.34388
0.26142,0.29312,0.24293,0.28686,0.36042
0.37384,0.36153,0.33338,0.37953,0.27587
0.16955,0.24783,0.26024,0.32745,0.45731
0.35928,0.35464,0.39618,0.28016,0.2556
0.30736,0.3531,0.49524,0.081516,0.39094
0.15683,0.40785,0.16371,0.2733,0.46886
0.41983,0.31577,0.38039,0.14562,0.26642
0.30079,0.45156,0.21845,0.2815,0.2655
0.40586,0.13704,0.20773,0.30089,0.27394
0.44969,0.3165,0.38821,0.33722,0.13078
0.34917,0.33434,0.30351,0.30422,0.2679
0.1662,0.19699,0.35411,0.33103,0.16863
0.055702,0.24458,0.25842,0.34133,0.32399
0.19209,0.45482,0.27564,0.24311,0.31178
0.21526,0.32837,0.15382,0.25687,0.4332
0.208,0.24556,0.31017,0.1893,0.31847
0.40933,0.26516,0.39053,0.24544,0.30082
0.21072,0.39638,0.2906,0.1756,0.44092
0.29879,0.37077,0.31744,0.40737,0.24622
0.42502,0.28862,0.20579,0.22311,0.38245
0.28644,0.37582,0.33243,0.39204,0.22679
0.27146,0.40385,0.39791,0,0.31203
0.25096,0.23777,0.33355,0.20221,0.24454
0.33645,0.26899,0.2948,0.312,0.33675
0.37285,0.42278,0.30365,0.37528,0.34164
0.40702,0.25375,0.3157,0.36121,0.24484
0.2245,0.34172,0.33306,0.50447,0.22564
0.25049,0.16703,0.39547,0.41543,0.30626
0.24621,0.15481,0.2404,0.3961,0.25703
0.21172,0.30777,0.37786,0.2662,0.35727
0.30404,0.27979,0.21876,0.27522,0.25043
0.32735,0.47125,0.50266,0.23435,0.23031
0.25496,0.13329,0.30798,0.37853,0.2498
0.35845,0.33052,0.31771,0.31628,0.27264
0.30485,0.29818,0.29695,0.28815,0.16825
0.26377,0.29986,0.29021,0.27238,0.18723
0.43699,0.39997,0.21712,0.25473,0.35598
0.39499,0.27894,0.41437,0.28619,0.24783
0.34607,0.23077,0.2359,0.16171,0.37027
0.25234,0.3185,0.15553,0.0733,0.19592
0.22442,0.39387,0.29,0.2167,0.37487
0.30211,0.24891,0.37529,0.41402,0.43949
0.36192,0.30965,0.28014,0.45048,0.17986
0.26499,0.40345,0.27206,0.37801,0.19707
0.24033,0.22669,0.26652,0.37421,0.24759
0.42356,0.19824,0.38056,0.27201,0.28686
0.4212,0.26114,0.28925,0.26969,0.27084
0.34587,0.38215,0.23508,0.38878,0.40079
0.25297,0.19252,0.34124,0.43886,0.25318
0.17382,0.26817,0.13965,0.23783,0.244
0.25251,0.29182,0.26928,0.30654,0.51969
0.43721,0.32267,0.29401,0.27428,0.28641
0.31282,0.40516,0.33777,0.45218,0.33922
0.25885,0.35103,0.10101,0.30797,0.43364
0.19782,0.31171,0.3722,0.12239,0.24451
0.20674,0.093409,0.21809,0.33096,0.41902
0.39539,0.24742,0.37183,0.19852,0.29596
0.37539,0.18616,0.31912,0.22824,0.29081
0.2623,0.15297,0.26555,0.34708,0.29647
0.31457,0.22793,0.32484,0.37181,0.30534
0.25279,0.3344,0.41564,0.25949,0.2687
0.33343,0.4947,0.29273,0.30849,0.36077
0.14716,0.22651,0.33686,0.3599,0.23424
0.17006,0.39478,0.36071,0.3885,0.27005
0.075569,0.38657,0.41303,0.39755,0.20017
0.26159,0.41191,0.31465,0.36951,0.19625
0.24144,0.21361,0.057638,0.22243,0.29572
0.28522,0.24867,0.31456,0.25861,0.33158
0.26689,0.43634,0.22255,0.13317,0.45519
0.24183,0.26868,0.30751,0.2037,0.1093
0.52156,0.30966,0.33035,0.29128,0.24463
0.12555,0.37423,0.23857,0.42771,0.33066
0.35011,0.29141,0.25847,0.54633,0.39611
0.33675,0.18118,0.44932,0.2485,0.34064
0.38898,0.21734,0.22346,0.31651,0.35219
0.25099,0.19755,0.26173,0.13292,0.26646
0.24918,0.20947,0.30168,0.25844,0.3776
0.44285,0.41753,0.3614,0.30392,0.32659
0.32288,0.32711,0.27055,0.29266,0.22633
0.39865,0.37841,0.25931,0.14392,0.4079
0.44541,0.37461,0.090775,0.2747,0.36702
0.34558,0.31678,0.33618,0.38001,0.22123
0.31644,0.1693,0.43338,0.25762,0.47226
0.33478,0.28789,0.32164,0.36695,0.27792
0.42509,0.34073,0.26653,0.25792,0.38288
0.26291,0.31936,0.33504,0.49372,0.2385
0.37777,0.34455,0.36917,0.34671,0.37488
0.15402,0.22642,0.14383,0.221,0.41793
0.19551,0.21057,0.12594,0.37392,0.30195
0.35393,0.30753,0.24982,0.24027,0.25658
0.20282,0.37903,0.23424,0.31797,0.25387
0.18566,0.18649,0.18566,0.31715,0.37046
0.33856,0.22804,0.23488,0.44482,0.20379
0.31794,0.26618,0.27805,0.51902,0.12429
0.48219,0.23771,0.23968,0.17275,0.2411
0.2781,0.31038,0.29749,0.42851,0.2501
0.24757,0.13995,0.3306,0.29213,0.30117
0.36122,0.19398,0.37053,0.43034,0.341
0.39409,0.43082,0.19964,0.40951,0.27978
0.32893,0.37115,0.29593,0.19051,0.39773
0.35163,0.18838,0.39263,0.3435,0.46075
0.44441,0.34711,0.25536,0.33652,0.225
0.23298,0.17257,0.29828,0.32972,0.37482
0.21267,0.1547,0.33513,0.41767,0.081353
0.29675,0.32802,0.32617,0.28511,0.40197
0.14265,0.24945,0.38475,0.2718,0.24177
0.26028,0.35292,0.22207,0.35206,0.22798
0.25711,0.18007,0.44607,0.40578,0.37648
0.33136,0.32788,0.25461,0.28997,0.26699
0.45437,0.41065,0.27277,0.32495,0.29395
0.38516,0.27217,0.40359,0.37983,0.40861
0.40072,0.26757,0.29089,0.1785,0.28828
0.22013,0.43402,0.2447,0.34681,0.21985
0.24909,0.29711,0.2313,0.25215,0.31851
0.24083,0.23001,0.38124,0.24945,0.31373
0.39913,0.32703,0.23807,0.2479,0.29859
0.3766,0.39002,0.31251,0.23358,0.21993
0.31911,0.48708,0.19434,0.22401,0.42065
0.4193,0.23873,0.29575,0.23085,0.35774
0.37397,0.31121,0.13573,0.37685,0.31707
0.30185,0.35216,0.34278,0.25005,0.31529
0.3806,0.2688,0.30846,0.24865,0.34845
0.27596,0.52579,0.42337,0.39764,0.23582
0.38615,0.18471,0.31062,0.25546,0.32229
0.21516,0.333,0.20192,0.25529,0.1612
0.49443,0.28487,0.39113,0.26701,0.38736
0.37098,0.20844,0.29951,0.20486,0.28643
0.47296,0.14598,0.32037,0.23839,0.46009
0.27205,0.31212,0.38444,0.23251,0.37791
0.39581,0.49216,0.25777,0.23342,0.35935
0.43783,0.49392,0.26395,0.23753,0.15861
0.33069,0.26521,0.19491,0.18453,0.20776
0.23254,0.31876,0.24772,0.29596,0.28397
0.38663,0.30409,0.20338,0.38342,0.25015
0.34302,0.2442,0.2687,0.39447,0.37419
0.25611,0.41738,0.48627,0.31879,0.2736
0.388,0.12129,0.29796,0.43615,0.21914
0.090845,0.38539,0.3933,0.33853,0.39512
0.17946,0.4336,0.28146,0.39326,0.40453
0.41447,0.28722,0.27226,0.39425,0.41596
0.43451,0.52592,0.4326,0.29807,0.45287
0.2483,0.38262,0.30375,0.21214,0.23536
0.43783,0.20789,0.20817,0.34275,0.30513
0.26723,0.31962,0.32253,0.31034,0.37961
0.22171,0.25081,0.21194,0.43231,0.33496
0.22736,0.18159,0.30478,0.2641,0.3264
0.29709,0.33551,0.27497,0.34865,0.21089
0.29485,0.36064,0.13813,0.3654,0.32874
0.39603,0.22912,0.29863,0.36138,0.3288
0.16867,0.30616,0.29375,0.26869,0.23122
0.32285,0.29945,0.54297,0.3701,0.334
0.37785,0.19092,0.38304,0.056091,0.34834
0.53051,0.2603,0.53142,0.31348,0.24959
0.22232,0.4105,0.28805,0.18499,0.20339
0.38198,0.36477,0.21971,0.3996,0.39365
0.33857,0.38526,0.2624,0.31553,0.34073
0.25318,0.35243,0.42926,0.31482,0.42239
0.32279,0.2195,0.27875,0.34134,0.34759
0.34069,0.31154,0.29499,0.28722,0.30396
0.39842,0.26392,0.40413,0.09605,0.25465
0.19829,0.32789,0.30657,0.18415,0.3376
0.24191,0.22375,0.29893,0.27639,0.29294
0.36987,0.28631,0.19631,0.44819,0.21656
0.44455,0.28753,0.31155,0.34726,0.45396
0.32657,0.19325,0.51646,0.31836,0.24956
0.23699,0.18089,0.32557,0.29055,0.36486
0.24816,0.20742,0.26055,0.41058,0.16985
0.30502,0.34027,0.09792,0.36948,0.373
0.21499,0.25405,0.30162,0.31679,0.31636
0.39613,0.097791,0.22552,0.23867,0.19146
0.33825,0.24554,0.34273,0.45635,0.17016
0.16702,0.39683,0.24218,0.23957,0.36881
0.11128,0.37093,0.28393,0.41991,0.29489
0.33144,0.31809,0.3164,0.19301,0.26306
0.2612,0.27858,0.36093,0.27829,0.26987
0.23937,0.26588,0.13515,0.26233,0.13102
0.28896,0.38405,0.28782,0.39048,0.19817
0.18755,0.25796,0.356,0.24964,0.18398
0.33156,0.32117,0.35149,0.34074,0.45654
0.25028,0.2813,0.24264,0.4564,0.42238
0.38126,0.35356,0.17818,0.27123,0.27882
0.24854,0.2223,0.23789,0.48118,0.36066
0.32743,0.24206,0.35976,0.37463,0.35225
0.13931,0.36961,0.28799,0.17388,0.45358
0.38499,0.31513,0.20361,0.40548,0.33406
0.27966,0.24769,0.34933,0.2114,0.33114
0.38477,0.22714,0.40534,0.3667,0.31905
0.39916,0.19726,0.49538,0.23304,0.53142
0.44922,0.27063,0.22224,0.39066,0.21282
0.30883,0.25272,0.26771,0.34455,0.21791
0.31469,0.36856,0.3015,0.26363,0.29236
0.32103,0.22606,0.32877,0.29804,0.14755
0.23399,0.16252,0.30413,0.2561,0.41564
0.25412,0.24731,0.40215,0.27644,0.25494
0.29112,0.3743,0.44272,0.27401,0.19612
0.36272,0.31935,0.34726,0.24779,0.21983
0.29173,0.44569,0.19118,0.24914,0.39488
0.44197,0.4094,0.32902,0.15851,0.32452
0.25529,0.26868,0.2274,0.26161,0.35941
0.34419,0.15152,0.3052,0.20434,0.12325
0.34605,0.41291,0.41512,0.32389,0.312
0.38584,0.22232,0.27326,0.31723,0.25129
0.21712,0.45095,0.25366,0.26884,0.27994
0.27112,0.32575,0.2526,0.30084,0.16912
0.26577,0.2804,0.28818,0.13197,0.25539
