A,B,C
0.73025,0.43394,0.17841
0.85993,0.45284,0.14859
0.89681,0.431,0.14992
0.85859,0.40753,0.11219
0.81989,0.44963,0.092751
0.83715,0.45009,0.20062
0.84425,0.48502,0.2059
0.77696,0.49421,0.13328
0.82602,0.40481,0.16861
0.93604,0.44771,0.24391
0.81343,0.56091,0.19985
0.83697,0.40153,0.28291
0.87797,0.53153,0.11323
0.81668,0.50339,0.12874
0.89782,0.33086,0.099966
0.76415,0.38997,0.036581
0.78258,0.45972,0.096583
0.80761,0.32472,0.12051
0.84241,0.39051,0.21224
0.8977,0.46108,0.17066
0.88172,0.39811,0.20793
0.89282,0.34794,0.036173
0.86467,0.47,0.18465
0.77452,0.52068,0.25665
0.75778,0.45181,0.14111
0.87557,0.50345,0.027869
0.86251,0.4639,0.088448
0.80822,0.44227,0.11971
0.72934,0.47063,0.082848
0.97926,0.41954,0.16443
0.87021,0.38251,0.27479
0.81433,0.42218,0.23509
0.83107,0.4694,0.071579
0.72747,0.43119,0.031612
0.67841,0.39232,0.13792
0.87708,0.34119,0.033589
0.75888,0.39217,0.086989
0.87323,0.50247,0.1892
0.83069,0.49987,0.19939
0.75039,0.4249,0.11528
0.84377,0.43498,0.32807
0.79179,0.46329,0.16389
0.8771,0.53945,0.16419
0.86733,0.47813,0.056849
0.78251,0.39807,0.2493
0.80922,0.47673,0.15995
0.80783,0.48323,0.090534
0.84894,0.43545,0.15258
0.82708,0.4338,0.15154
0.78425,0.45254,0.23896
0.83406,0.51833,0.17098
0.78034,0.48268,0.17066
0.92685,0.52165,0.17117
0.77008,0.47727,0.1847
0.79055,0.47074,0.17004
0.85448,0.35679,0.15361
0.81198,0.44642,0.12709
0.74715,0.46368,0.06642
0.76257,0.53332,0.11289
0.78208,0.39063,0.081138
0.89502,0.39425,0.18412
0.82741,0.46351,0.15445
0.76166,0.35778,0.077692
0.81739,0.4344,0.071607
0.82722,0.41692,0.13678
0.81789,0.35082,0.21251
0.88224,0.44822,0.13307
0.82274,0.49939,0.20065
0.76225,0.46122,0.11739
0.75635,0.40716,0.12403
0.77567,0.46963,0.20353
0.73556,0.36483,0.27102
0.77804,0.43807,0.12233
0.80804,0.47604,0.24849
0.85942,0.33866,0.15009
0.77527,0.45027,0.14396
0.73277,0.44385,0.14498
0.75297,0.48198,0.15507
0.88907,0.45524,0.17129
0.82476,0.38583,0.18932
0.73298,0.51849,0.12373
0.88107,0.44859,0.094482
0.75859,0.46536,0.15392
0.88185,0.49579,0.16612
0.86214,0.45177,0.13563
0.87988,0.52946,0.11706
0.77455,0.39187,0.093117
0.81526,0.4953,0.17603
0.66758,0.52346,0.033589
0.82622,0.53206,0.17271
0.82102,0.5389,0.13873
0.83999,0.35431,0.20573
0.80805,0.40468,0.15019
0.85402,0.50009,0.02313
0.78693,0.40391,0.11453
0.80695,0.53097,0.11821
0.81363,0.34903,0.17459
0.86164,0.41361,0.11975
0.90739,0.375,0.15518
0.9389,0.45689,0.12393
0.76594,0.36236,0.16118
0.92633,0.43449,0.1676
0.8283,0.52976,0.10616
0.76131,0.51698,0.064327
0.87006,0.49449,0.0029085
0.86687,0.51506,0.20662
0.70481,0.452,0.14292
0.85514,0.35508,0.25077
0.87242,0.37641,0.04442
0.78004,0.45154,0.14433
0.77356,0.49986,0.15333
0.92456,0.43125,0.070597
0.85566,0.38229,0.19785
0.91365,0.51466,0.18818
0.86468,0.47068,0.10085
0.77454,0.45685,0.058773
0.82799,0.43786,0.14189
0.87649,0.41475,0.18047
0.8759,0.49522,0.20634
0.79008,0.52186,0.16564
0.85707,0.42846,0.063481
0.89993,0.50492,0.20593
0.82786,0.44733,0.043586
0.78897,0.45461,0.18615
0.63759,0.44892,0.11229
0.81551,0.4984,0.14254
0.8332,0.55337,0.22153
0.80791,0.47555,0.30877
0.91218,0.41896,0.20077
0.73911,0.48461,0.24753
0.85469,0.46088,0.1838
0.83545,0.44426,0.088274
0.81704,0.42705,0.13893
0.82933,0.49461,0.14768
0.76983,0.38775,0.24147
0.75068,0.46222,0.097069
0.814,0.45651,0.15019
0.72481,0.5384,0.14975
0.84375,0.56744,0.12038
0.88096,0.33955,0.081004
0.78016,0.5037,0.086538
0.91455,0.5526,0.22917
0.86011,0.41359,0.1505
0.79274,0.47406,0.15217
0.84169,0.42607,0.24567
0.83953,0.41546,0.15391
0.74512,0.53269,0.11485
0.82339,0.41168,0.16624
0.80931,0.50109,0.13201
0.88313,0.44935,0.069762
0.93261,0.54066,0.15199
0.75381,0.48322,0.18511
0.81698,0.48403,0.20842
0.82768,0.46364,0.17958
0.83525,0.29104,0.14028
0.82848,0.49904,0.13375
0.7864,0.52029,0.077951
0.81165,0.40833,0.076683
0.88284,0.37044,0.16669
0.83027,0.31021,0.24143
0.90043,0.61467,0.16407
0.8615,0.54016,0.12566
0.79949,0.39929,0.13688
